,P1,P2,P5,P6,R1,R5,R6
P1,1.0,0.752985721621146,0.4398896221370301,0.3764210247579692,0.623694723347682,0.2230981510334675,0.21892097703146046
P2,0.752985721621146,1.0,0.5190034038820245,0.4066577975386538,0.7096763305839529,0.34281772079020223,0.29749317565040867
P5,0.4398896221370301,0.5190034038820245,1.0,0.5790574475102162,0.443008733813394,0.5781276282471564,0.4013320931374793
P6,0.3764210247579692,0.4066577975386538,0.5790574475102162,1.0,0.46466492185723773,0.4136344976488707,0.6460727933158645
R1,0.623694723347682,0.7096763305839529,0.443008733813394,0.46466492185723773,1.0,0.3762072499714468,0.35127281195905447
R5,0.2230981510334675,0.34281772079020223,0.5781276282471564,0.4136344976488707,0.3762072499714468,1.0,0.48084567993046784
R6,0.21892097703146046,0.29749317565040867,0.4013320931374793,0.6460727933158645,0.35127281195905447,0.48084567993046784,1.0
