,P1,P2,P5,P6,R1,R5,R6
P1,1.0,0.79,0.51,0.45,0.67,0.3,0.3
P2,0.79,1.0,0.58,0.48,0.75,0.42,0.37
P5,0.51,0.58,1.0,0.63,0.51,0.63,0.47
P6,0.45,0.48,0.63,1.0,0.53,0.48,0.69
R1,0.67,0.75,0.51,0.53,1.0,0.45,0.42
R5,0.3,0.42,0.63,0.48,0.45,1.0,0.54
R6,0.3,0.37,0.47,0.69,0.42,0.54,1.0
